X, Y, Psi
0.21000, 0.15000, 1.56615
0.23000, 0.15000, 1.60422
0.25000, 0.15000, 1.61701
0.27000, 0.15000, 1.60428
0.29000, 0.15000, 1.56624
0.31000, 0.15000, 1.50350
0.33000, 0.15000, 1.41703
0.35000, 0.15000, 1.30820
0.37000, 0.15000, 1.17875
0.39000, 0.15000, 1.03074
0.41000, 0.15000, 0.86648
0.43000, 0.15000, 0.68853
0.45000, 0.15000, 0.49970
0.47000, 0.15000, 0.30298
0.49000, 0.15000, 0.10151
0.51000, 0.15000, -0.10151
0.53000, 0.15000, -0.30298
0.55000, 0.15000, -0.49970
0.57000, 0.15000, -0.68853
0.59000, 0.15000, -0.86648
0.61000, 0.15000, -1.03074
0.63000, 0.15000, -1.17875
0.65000, 0.15000, -1.30820
0.67000, 0.15000, -1.41703
0.69000, 0.15000, -1.50350
0.71000, 0.15000, -1.56624
0.73000, 0.15000, -1.60428
0.75000, 0.15000, -1.61701
0.77000, 0.15000, -1.60422
0.79000, 0.15000, -1.56615
0.81000, 0.15000, -1.50342
0.83000, 0.15000, -1.41697
0.85000, 0.15000, -1.30813
0.87000, 0.15000, -1.17864
0.89000, 0.15000, -1.03056
0.91000, 0.15000, -0.86623
0.93000, 0.15000, -0.68823
0.95000, 0.15000, -0.49941
0.97000, 0.15000, -0.30276
0.99000, 0.15000, -0.10125
1.00000, 0.15000, -0.00000
0.00000, 0.17000, 0.00000
0.01000, 0.17000, 0.10967
0.03000, 0.17000, 0.32795
0.05000, 0.17000, 0.54097
0.07000, 0.17000, 0.74549
0.09000, 0.17000, 0.93830
0.11000, 0.17000, 1.11631
0.13000, 0.17000, 1.27671
0.15000, 0.17000, 1.41697
0.17000, 0.17000, 1.53487
0.19000, 0.17000, 1.62851
0.21000, 0.17000, 1.69646
0.23000, 0.17000, 1.73770
0.25000, 0.17000, 1.75156
0.27000, 0.17000, 1.73776
0.29000, 0.17000, 1.69655
0.31000, 0.17000, 1.62859
0.33000, 0.17000, 1.53494
0.35000, 0.17000, 1.41705
0.37000, 0.17000, 1.27683
0.39000, 0.17000, 1.11651
0.41000, 0.17000, 0.93857
0.43000, 0.17000, 0.74581
0.45000, 0.17000, 0.54128
0.47000, 0.17000, 0.32819
0.49000, 0.17000, 0.10996
0.51000, 0.17000, -0.10996
0.53000, 0.17000, -0.32819
0.55000, 0.17000, -0.54128
0.57000, 0.17000, -0.74581
0.59000, 0.17000, -0.93857
0.61000, 0.17000, -1.11651
0.63000, 0.17000, -1.27683
0.65000, 0.17000, -1.41705
0.67000, 0.17000, -1.53494
0.69000, 0.17000, -1.62859
0.71000, 0.17000, -1.69655
0.73000, 0.17000, -1.73776
0.75000, 0.17000, -1.75156
0.77000, 0.17000, -1.73770
0.79000, 0.17000, -1.69646
0.81000, 0.17000, -1.62851
0.83000, 0.17000, -1.53487
0.85000, 0.17000, -1.41697
0.87000, 0.17000, -1.27671
0.89000, 0.17000, -1.11631
0.91000, 0.17000, -0.93830
0.93000, 0.17000, -0.74549
0.95000, 0.17000, -0.54097
0.97000, 0.17000, -0.32795
0.99000, 0.17000, -0.10967
1.00000, 0.17000, -0.00000
0.00000, 0.19000, 0.00000
0.01000, 0.19000, 0.11636
0.03000, 0.19000, 0.34796
0.05000, 0.19000, 0.57397
0.07000, 0.19000, 0.79098
0.09000, 0.19000, 0.99555
0.11000, 0.19000, 1.18442
0.13000, 0.19000, 1.35460
0.15000, 0.19000, 1.50342
0.17000, 0.19000, 1.62851
0.19000, 0.19000, 1.72787
0.21000, 0.19000, 1.79997
0.23000, 0.19000, 1.84373
0.25000, 0.19000, 1.85842
0.27000, 0.19000, 1.84378
0.29000, 0.19000, 1.80006
0.31000, 0.19000, 1.72796
0.33000, 0.19000, 1.62859
0.35000, 0.19000, 1.50351
0.37000, 0.19000, 1.35473
0.39000, 0.19000, 1.18463
0.41000, 0.19000, 0.99584
0.43000, 0.19000, 0.79132
0.45000, 0.19000, 0.57430
0.47000, 0.19000, 0.34821
0.49000, 0.19000, 0.11667
0.51000, 0.19000, -0.11667
0.53000, 0.19000, -0.34821
0.55000, 0.19000, -0.57430
0.57000, 0.19000, -0.79132
0.59000, 0.19000, -0.99584
0.61000, 0.19000, -1.18463
0.63000, 0.19000, -1.35473
0.65000, 0.19000, -1.50351
0.67000, 0.19000, -1.62859
0.69000, 0.19000, -1.72796
0.71000, 0.19000, -1.80006
0.73000, 0.19000, -1.84378
0.75000, 0.19000, -1.85842
0.77000, 0.19000, -1.84373
0.79000, 0.19000, -1.79997
0.81000, 0.19000, -1.72787
0.83000, 0.19000, -1.62851
0.85000, 0.19000, -1.50342
0.87000, 0.19000, -1.35460
0.89000, 0.19000, -1.18442
0.91000, 0.19000, -0.99555
0.93000, 0.19000, -0.79098
0.95000, 0.19000, -0.57397
0.97000, 0.19000, -0.34796
0.99000, 0.19000, -0.11636
1.00000, 0.19000, -0.00000
0.00000, 0.21000, 0.00000
0.01000, 0.21000, 0.12122
0.03000, 0.21000, 0.36247
0.05000, 0.21000, 0.59792
0.07000, 0.21000, 0.82398
